Date,Australian Cash Interest Rate*,Domestic Bond Index~,Domestic Shares Index#,,,,,,
31-Dec-1975,,,,,,,,,
31-Jan-1976,7.500%,,,,,,,,
29-Feb-1976,8.300%,,,,,,,,
31-Mar-1976,8.400%,,,,,,,,
30-Apr-1976,10.000%,,,,,,,,
31-May-1976,9.850%,,,,,,,,
30-Jun-1976,10.250%,,,,,,,,
31-Jul-1976,9.600%,,,,,,,,
31-Aug-1976,9.300%,,,,,,,,
30-Sep-1976,9.275%,,,,,,,,
31-Oct-1976,8.950%,,,,,,,,
30-Nov-1976,10.250%,,,,,,,,
31-Dec-1976,9.125%,,,,,,,,
31-Jan-1977,8.850%,,,,,,,,
28-Feb-1977,9.400%,,,,,,,,
31-Mar-1977,10.425%,,,,,,,,
30-Apr-1977,11.400%,,,,,,,,
31-May-1977,10.525%,,,,,,,,
30-Jun-1977,11.500%,,,,,,,,
31-Jul-1977,10.850%,,,,,,,,
31-Aug-1977,10.725%,,,,,,,,
30-Sep-1977,10.450%,,,,,,,,
31-Oct-1977,9.750%,,,,,,,,
30-Nov-1977,9.650%,,,,,,,,
31-Dec-1977,9.525%,,,,,,,,
31-Jan-1978,9.500%,,,,,,,,
28-Feb-1978,9.600%,,,,,,,,
31-Mar-1978,10.625%,,,,,,,,
30-Apr-1978,10.725%,,,,,,,,
31-May-1978,10.400%,,,,,,,,
30-Jun-1978,10.650%,,,,,,,,
31-Jul-1978,9.550%,,,,,,,,
31-Aug-1978,9.725%,,,,,,,,
30-Sep-1978,9.675%,,,,,,,,
31-Oct-1978,9.375%,,,,,,,,
30-Nov-1978,8.775%,,,,,,,,
31-Dec-1978,8.600%,,,,,,,,
31-Jan-1979,8.530%,,,,,,,,
28-Feb-1979,8.825%,,,,,,,,
31-Mar-1979,9.575%,,,,,,,,
30-Apr-1979,10.725%,,,,,,,,
31-May-1979,10.000%,,,,,,,,
30-Jun-1979,10.400%,,,,,,,,
31-Jul-1979,9.675%,,,,,,,,
31-Aug-1979,9.875%,,,,,,,,
30-Sep-1979,9.925%,,,,,,,,
31-Oct-1979,10.050%,,,,,,,,
30-Nov-1979,10.050%,,,,,,,,
31-Dec-1979,10.050%,," 1,000.00 ",,,,,,
31-Jan-1980,10.150%,," 1,174.30 ",,,,,,
29-Feb-1980,10.050%,," 1,214.60 ",,,,,,
31-Mar-1980,12.975%,," 1,040.09 ",,,,,,
30-Apr-1980,13.125%,," 1,079.03 ",,,,,,
31-May-1980,13.925%,," 1,214.60 ",,,,,,
30-Jun-1980,14.150%,," 1,286.50 ",,,,,,
31-Jul-1980,12.700%,," 1,305.50 ",,,,,,
31-Aug-1980,12.175%,," 1,355.00 ",,,,,,
30-Sep-1980,11.375%,," 1,434.60 ",,,,,,
31-Oct-1980,11.200%,," 1,520.07 ",,,,,,
30-Nov-1980,11.800%,," 1,528.06 ",,,,,,
31-Dec-1980,12.550%,," 1,488.06 ",,,,,,
31-Jan-1981,12.850%,," 1,373.50 ",,,,,,
28-Feb-1981,13.750%,," 1,366.06 ",,,,,,
31-Mar-1981,15.375%,," 1,495.02 ",,,,,,
30-Apr-1981,16.700%,," 1,498.10 ",,,,,,
31-May-1981,15.050%,," 1,515.10 ",,,,,,
30-Jun-1981,16.050%,," 1,489.60 ",,,,,,
31-Jul-1981,15.775%,," 1,351.00 ",,,,,,
31-Aug-1981,15.575%,," 1,343.90 ",,,,,,
30-Sep-1981,15.150%,," 1,239.00 ",,,,,,
31-Oct-1981,14.625%,," 1,189.07 ",,,,,,
30-Nov-1981,14.775%,," 1,291.10 ",,,,,,
31-Dec-1981,15.625%,," 1,296.00 ",,,,,,
31-Jan-1982,16.800%,," 1,197.08 ",,,,,,
28-Feb-1982,17.150%,," 1,073.60 ",,,,,,
31-Mar-1982,20.100%,," 1,018.40 ",,,,,,
30-Apr-1982,21.500%,," 1,119.10 ",,,,,,
31-May-1982,17.525%,," 1,124.05 ",,,,,,
30-Jun-1982,18.850%,," 1,057.02 ",,,,,,
31-Jul-1982,16.650%,," 1,042.90 ",,,,,,
31-Aug-1982,16.875%,," 1,084.40 ",,,,,,
30-Sep-1982,13.300%,," 1,136.02 ",,,,,,
31-Oct-1982,15.850%,," 1,149.70 ",,,,,,
30-Nov-1982,14.175%,," 1,110.03 ",,,,,,
31-Dec-1982,9.550%,," 1,116.03 ",,,,,,
31-Jan-1983,11.075%,," 1,236.06 ",,,,,,
